n_samples,n_nodes,n_constraints,use_outer_join,order_by_cardinality,not_pandas_optimized
256,1048576,5,False,False,True
256,1048576,5,False,False,True
256,1048576,5,False,False,True
256,1048576,5,False,False,True
256,1048576,5,False,False,True
256,1048576,5,True,True,True
256,1048576,5,True,True,True
256,1048576,5,True,True,True
256,1048576,5,True,True,True
256,1048576,5,True,True,True
256,1048576,5,True,False,True
256,1048576,5,True,False,True
256,1048576,5,True,False,True
256,1048576,5,True,False,True
256,1048576,5,True,False,True
220995,1048576,5,False,False,True
220995,1048576,5,False,False,True
220995,1048576,5,False,False,True
220995,1048576,5,False,False,True
220995,1048576,5,False,False,True
220995,1048576,5,True,True,True
220995,1048576,5,True,True,True
220995,1048576,5,True,True,True
220995,1048576,5,True,True,True
220995,1048576,5,True,True,True
220995,1048576,5,True,False,True
220995,1048576,5,True,False,True
220995,1048576,5,True,False,True
220995,1048576,5,True,False,True
220995,1048576,5,True,False,True
441734,1048576,5,False,False,True
441734,1048576,5,False,False,True
441734,1048576,5,False,False,True
441734,1048576,5,False,False,True
441734,1048576,5,False,False,True
441734,1048576,5,True,True,True
441734,1048576,5,True,True,True
441734,1048576,5,True,True,True
441734,1048576,5,True,True,True
441734,1048576,5,True,True,True
441734,1048576,5,True,False,True
441734,1048576,5,True,False,True
441734,1048576,5,True,False,True
441734,1048576,5,True,False,True
441734,1048576,5,True,False,True
662474,1048576,5,False,False,True
662474,1048576,5,False,False,True
662474,1048576,5,False,False,True
662474,1048576,5,False,False,True
662474,1048576,5,False,False,True
662474,1048576,5,True,True,True
662474,1048576,5,True,True,True
662474,1048576,5,True,True,True
662474,1048576,5,True,True,True
662474,1048576,5,True,True,True
662474,1048576,5,True,False,True
662474,1048576,5,True,False,True
662474,1048576,5,True,False,True
662474,1048576,5,True,False,True
662474,1048576,5,True,False,True
883213,1048576,5,False,False,True
883213,1048576,5,False,False,True
883213,1048576,5,False,False,True
883213,1048576,5,False,False,True
883213,1048576,5,False,False,True
883213,1048576,5,True,True,True
883213,1048576,5,True,True,True
883213,1048576,5,True,True,True
883213,1048576,5,True,True,True
883213,1048576,5,True,True,True
883213,1048576,5,True,False,True
883213,1048576,5,True,False,True
883213,1048576,5,True,False,True
883213,1048576,5,True,False,True
883213,1048576,5,True,False,True
1103952,1048576,5,False,False,True
1103952,1048576,5,False,False,True
1103952,1048576,5,False,False,True
1103952,1048576,5,False,False,True
1103952,1048576,5,False,False,True
1103952,1048576,5,True,True,True
1103952,1048576,5,True,True,True
1103952,1048576,5,True,True,True
1103952,1048576,5,True,True,True
1103952,1048576,5,True,True,True
1103952,1048576,5,True,False,True
1103952,1048576,5,True,False,True
1103952,1048576,5,True,False,True
1103952,1048576,5,True,False,True
1103952,1048576,5,True,False,True
1324692,1048576,5,False,False,True
1324692,1048576,5,False,False,True
1324692,1048576,5,False,False,True
1324692,1048576,5,False,False,True
1324692,1048576,5,False,False,True
1324692,1048576,5,True,True,True
1324692,1048576,5,True,True,True
1324692,1048576,5,True,True,True
1324692,1048576,5,True,True,True
1324692,1048576,5,True,True,True
1324692,1048576,5,True,False,True
1324692,1048576,5,True,False,True
1324692,1048576,5,True,False,True
1324692,1048576,5,True,False,True
1324692,1048576,5,True,False,True
1545431,1048576,5,False,False,True
1545431,1048576,5,False,False,True
1545431,1048576,5,False,False,True
1545431,1048576,5,False,False,True
1545431,1048576,5,False,False,True
1545431,1048576,5,True,True,True
1545431,1048576,5,True,True,True
1545431,1048576,5,True,True,True
1545431,1048576,5,True,True,True
1545431,1048576,5,True,True,True
1545431,1048576,5,True,False,True
1545431,1048576,5,True,False,True
1545431,1048576,5,True,False,True
1545431,1048576,5,True,False,True
1545431,1048576,5,True,False,True
1766170,1048576,5,False,False,True
1766170,1048576,5,False,False,True
1766170,1048576,5,False,False,True
1766170,1048576,5,False,False,True
1766170,1048576,5,False,False,True
1766170,1048576,5,True,True,True
1766170,1048576,5,True,True,True
1766170,1048576,5,True,True,True
1766170,1048576,5,True,True,True
1766170,1048576,5,True,True,True
1766170,1048576,5,True,False,True
1766170,1048576,5,True,False,True
1766170,1048576,5,True,False,True
1766170,1048576,5,True,False,True
1766170,1048576,5,True,False,True
1986910,1048576,5,False,False,True
1986910,1048576,5,False,False,True
1986910,1048576,5,False,False,True
1986910,1048576,5,False,False,True
1986910,1048576,5,False,False,True
1986910,1048576,5,True,True,True
1986910,1048576,5,True,True,True
1986910,1048576,5,True,True,True
1986910,1048576,5,True,True,True
1986910,1048576,5,True,True,True
1986910,1048576,5,True,False,True
1986910,1048576,5,True,False,True
1986910,1048576,5,True,False,True
1986910,1048576,5,True,False,True
1986910,1048576,5,True,False,True
2207649,1048576,5,False,False,True
2207649,1048576,5,False,False,True
2207649,1048576,5,False,False,True
2207649,1048576,5,False,False,True
2207649,1048576,5,False,False,True
2207649,1048576,5,True,True,True
2207649,1048576,5,True,True,True
2207649,1048576,5,True,True,True
2207649,1048576,5,True,True,True
2207649,1048576,5,True,True,True
2207649,1048576,5,True,False,True
2207649,1048576,5,True,False,True
2207649,1048576,5,True,False,True
2207649,1048576,5,True,False,True
2207649,1048576,5,True,False,True
2428389,1048576,5,False,False,True
2428389,1048576,5,False,False,True
2428389,1048576,5,False,False,True
2428389,1048576,5,False,False,True
2428389,1048576,5,False,False,True
2428389,1048576,5,True,True,True
2428389,1048576,5,True,True,True
2428389,1048576,5,True,True,True
2428389,1048576,5,True,True,True
2428389,1048576,5,True,True,True
2428389,1048576,5,True,False,True
2428389,1048576,5,True,False,True
2428389,1048576,5,True,False,True
2428389,1048576,5,True,False,True
2428389,1048576,5,True,False,True
2649128,1048576,5,False,False,True
2649128,1048576,5,False,False,True
2649128,1048576,5,False,False,True
2649128,1048576,5,False,False,True
2649128,1048576,5,False,False,True
2649128,1048576,5,True,True,True
2649128,1048576,5,True,True,True
2649128,1048576,5,True,True,True
2649128,1048576,5,True,True,True
2649128,1048576,5,True,True,True
2649128,1048576,5,True,False,True
2649128,1048576,5,True,False,True
2649128,1048576,5,True,False,True
2649128,1048576,5,True,False,True
2649128,1048576,5,True,False,True
2869867,1048576,5,False,False,True
2869867,1048576,5,False,False,True
2869867,1048576,5,False,False,True
2869867,1048576,5,False,False,True
2869867,1048576,5,False,False,True
2869867,1048576,5,True,True,True
2869867,1048576,5,True,True,True
2869867,1048576,5,True,True,True
2869867,1048576,5,True,True,True
2869867,1048576,5,True,True,True
2869867,1048576,5,True,False,True
2869867,1048576,5,True,False,True
2869867,1048576,5,True,False,True
2869867,1048576,5,True,False,True
2869867,1048576,5,True,False,True
3090607,1048576,5,False,False,True
3090607,1048576,5,False,False,True
3090607,1048576,5,False,False,True
3090607,1048576,5,False,False,True
3090607,1048576,5,False,False,True
3090607,1048576,5,True,True,True
3090607,1048576,5,True,True,True
3090607,1048576,5,True,True,True
3090607,1048576,5,True,True,True
3090607,1048576,5,True,True,True
3090607,1048576,5,True,False,True
3090607,1048576,5,True,False,True
3090607,1048576,5,True,False,True
3090607,1048576,5,True,False,True
3090607,1048576,5,True,False,True
3311346,1048576,5,False,False,True
3311346,1048576,5,False,False,True
3311346,1048576,5,False,False,True
3311346,1048576,5,False,False,True
3311346,1048576,5,False,False,True
3311346,1048576,5,True,True,True
3311346,1048576,5,True,True,True
3311346,1048576,5,True,True,True
3311346,1048576,5,True,True,True
3311346,1048576,5,True,True,True
3311346,1048576,5,True,False,True
3311346,1048576,5,True,False,True
3311346,1048576,5,True,False,True
3311346,1048576,5,True,False,True
3311346,1048576,5,True,False,True
3532085,1048576,5,False,False,True
3532085,1048576,5,False,False,True
3532085,1048576,5,False,False,True
3532085,1048576,5,False,False,True
3532085,1048576,5,False,False,True
3532085,1048576,5,True,True,True
3532085,1048576,5,True,True,True
3532085,1048576,5,True,True,True
3532085,1048576,5,True,True,True
3532085,1048576,5,True,True,True
3532085,1048576,5,True,False,True
3532085,1048576,5,True,False,True
3532085,1048576,5,True,False,True
3532085,1048576,5,True,False,True
3532085,1048576,5,True,False,True
3752825,1048576,5,False,False,True
3752825,1048576,5,False,False,True
3752825,1048576,5,False,False,True
3752825,1048576,5,False,False,True
3752825,1048576,5,False,False,True
3752825,1048576,5,True,True,True
3752825,1048576,5,True,True,True
3752825,1048576,5,True,True,True
3752825,1048576,5,True,True,True
3752825,1048576,5,True,True,True
3752825,1048576,5,True,False,True
3752825,1048576,5,True,False,True
3752825,1048576,5,True,False,True
3752825,1048576,5,True,False,True
